cluster_id	questions	answers
	which us president ruled for the shortest time?	https://en.wikipedia.org/wiki/bill_russell
	what president of the united states held office for the shortest period?	https://en.wikipedia.org/wiki/larry_bird
	what us president stayed in office for the shortest amount of time?	https://en.wikipedia.org/wiki/wilt_chamberlain
		https://en.wikipedia.org/wiki/kareem_abdul-jabbar
		https://en.wikipedia.org/wiki/magic_johnson
cluster-813	who was the first us president from the republican party?	https://en.wikipedia.org/wiki/abraham_lincoln
cluster-1132	when was death valley found?	1933-02-11
cluster-2880	what is largest city in new zealand?	https://en.wikipedia.org/wiki/auckland
cluster-2515	who is jim lovell's father?	james arthur lovell
cluster-3166	what was the name of the brother who died of michael jackson?	brandon jackson
cluster-2237	the first skyscraper was built in what city?	https://en.wikipedia.org/wiki/chicago
cluster-1483	how old was roberto clemente when he died?	38 years
cluster-2457	how many terms richard nixon have?	2
cluster-1175	at what age did john steinbeck jr die?	66 years
cluster-3476	what are jason aldean's sisters and brothers names?	kasi aldean
cluster-3940	who is the second wife of prophet abraham?	https://en.wikipedia.org/wiki/keturah
cluster-2579	when did the genocide of rwanda start?	1994
cluster-1878	what is vijays first movie?	https://en.wikipedia.org/wiki/vetri_(film)
cluster-1576	what sea divides denmark and sweden?	https://en.wikipedia.org/wiki/%c3%98resund
cluster-3281	what county is lone grove oklahoma located in?	https://en.wikipedia.org/wiki/carter_county,_oklahoma
cluster-532	who was the president of poland in may 2009?	https://en.wikipedia.org/wiki/lech_kaczy%c5%84ski
cluster-1626	who was the first female to be on a wheaties box?	https://en.wikipedia.org/wiki/mary_lou_retton
cluster-417	what was president george w bush before he was president?	https://en.wikipedia.org/wiki/governor
cluster-480	what year did sidney nolan die?	1992-11-28
cluster-2105	what did marcus do for a living before he died?	
cluster-2677	who are tia mowry's parents?	darlene mowry
	who are the mowry twins parents?	timothy mowry
cluster-2638	what years was vincent van gogh born and died?	1853
	what are tia mowrys parents names?	1890
cluster-2235	who is the youngest son or daughter from the jacksons?	https://en.wikipedia.org/wiki/janet_jackson
cluster-52	when was nicki minja first album?	2010
cluster-2356	where was father junipero serra born at?	https://en.wikipedia.org/wiki/petra,_majorca
cluster-1127	what films had both leading actor and actress win an oscar?	https://en.wikipedia.org/wiki/it_happened_one_night
	which movies have won the best actor and best actress?	https://en.wikipedia.org/wiki/the_silence_of_the_lambs_(film)
	which movie won best actor and best actress awards?	https://en.wikipedia.org/wiki/on_golden_pond_(1981_film)
		https://en.wikipedia.org/wiki/coming_home_(1978_film)
		https://en.wikipedia.org/wiki/one_flew_over_the_cuckoo%27s_nest_(film)
cluster-1610	what school does brandon kane go to?	
cluster-3713	what was ferdinand magellan's job?	https://en.wikipedia.org/wiki/sailor
cluster-3644	what is so nice about trina?	
cluster-41	what country that boarders honduras on the west?	https://en.wikipedia.org/wiki/guatemala
cluster-1804	the countries that germany occupied during world war 2?	https://en.wikipedia.org/wiki/denmark
	what are 4 countries germany occupied during world war 2?	https://en.wikipedia.org/wiki/belgium
cluster-2881	the number of times john steinbeck was married?	3
cluster-2389	where did lio get the idea to paint the mona lisa?	the painting was to be a portrait of giocondo's wife, lisa del giocondo, which the couple intended to hang in their new home to celebrate the birth of their new son, andrea.
cluster-3162	what album is baby you like it by enrique iglesias ft pitbull on?	https://en.wikipedia.org/wiki/euphoria_(enrique_iglesias_album)
cluster-1695	what wascharles dickens first novel?	https://en.wikipedia.org/wiki/the_pickwick_papers
cluster-2132	what is the population of las vegas nevada in general?	603,488
cluster-1036	what groups were steve winwood in?	https://en.wikipedia.org/wiki/traffic_(band)
	bands steve winwood was in?	https://en.wikipedia.org/wiki/go_(band)
	name all the rock bands steve winwood was in?	https://en.wikipedia.org/wiki/blind_faith
		https://en.wikipedia.org/wiki/the_spencer_davis_group
		https://en.wikipedia.org/wiki/eric_clapton_and_the_powerhouse
		https://en.wikipedia.org/wiki/ginger_baker%27s_air_force
cluster-2307	when did sir arthur conan doyals mum and dad die?	1893
cluster-1281	the dates of franklin roosevelt's presidency?	1945-04-12
	when was franklin roosevelt president of the us?	1933-03-04
cluster-3323	where was michael jackson employed?	
cluster-502	what is the name of liam payne's mom?	karen payne
cluster-1431	when did larry bird resign from the pacers?	2000
cluster-2679	what type of music does billy joel write?	https://en.wikipedia.org/wiki/piano_rock
	what kind of music does billy joel write?	https://en.wikipedia.org/wiki/soft_rock
	what type of music does billy joel sing?	https://en.wikipedia.org/wiki/pop_music
cluster-3477	what movies has michael gambon been in?	https://en.wikipedia.org/wiki/harry_potter_and_the_order_of_the_phoenix_(film)
		https://en.wikipedia.org/wiki/paddington_(film)
		https://en.wikipedia.org/wiki/harry_potter_and_the_goblet_of_fire_(film)
		https://en.wikipedia.org/wiki/being_julia
		https://en.wikipedia.org/wiki/victoria_and_abdul
		https://en.wikipedia.org/wiki/gosford_park
		https://en.wikipedia.org/wiki/harry_potter_and_the_deathly_hallows_%e2%80%93_part_2
		https://en.wikipedia.org/wiki/hail,_caesar!
		https://en.wikipedia.org/wiki/the_king%27s_speech
		https://en.wikipedia.org/wiki/harry_potter_and_the_half-blood_prince_(film)
		https://en.wikipedia.org/wiki/open_range_(2003_film)
		https://en.wikipedia.org/wiki/viceroy%27s_house_(film)
		https://en.wikipedia.org/wiki/layer_cake_(film)
		https://en.wikipedia.org/wiki/the_cook,_the_thief,_his_wife_%26_her_lover
		https://en.wikipedia.org/wiki/the_death_and_life_of_john_f._donovan
		https://en.wikipedia.org/wiki/dad%27s_army_(2016_film)
		https://en.wikipedia.org/wiki/harry_potter_and_the_prisoner_of_azkaban_(film)
		https://en.wikipedia.org/wiki/sleepy_hollow_(film)
		https://en.wikipedia.org/wiki/unity_(film)
		https://en.wikipedia.org/wiki/quartet_(2012_film)
cluster-890	where was jackie robinson place of birth?	https://en.wikipedia.org/wiki/cairo,_georgia
cluster-1976	what songs did ronnie dunn feature in?	https://en.wikipedia.org/wiki/cost_of_livin%27
	where was jackie robinson birth place?	https://en.wikipedia.org/wiki/let_the_cowboy_rock
	jackie robinson birth place?	https://en.wikipedia.org/wiki/bleed_red
cluster-3115	what year did louis catier die?	1942
cluster-2254	what movie did penelope cruz win an oscar for?	https://en.wikipedia.org/wiki/vicky_cristina_barcelona
cluster-1963	which movies starring brad pitt and george clooney together?	https://en.wikipedia.org/wiki/burn_after_reading
	which film did george clooney and brad pitt star in?	https://en.wikipedia.org/wiki/confessions_of_a_dangerous_mind
		https://en.wikipedia.org/wiki/ocean%27s_twelve
		https://en.wikipedia.org/wiki/ocean%27s_eleven
cluster-2403	what is cyndi lauper husband's name?	https://en.wikipedia.org/wiki/david_thornton_(actor)
cluster-3387	what nba teams has bibby played for?	https://en.wikipedia.org/wiki/miami_heat
		https://en.wikipedia.org/wiki/sacramento_kings
		https://en.wikipedia.org/wiki/atlanta_hawks
		https://en.wikipedia.org/wiki/washington_wizards
		https://en.wikipedia.org/wiki/vancouver_grizzlies
		https://en.wikipedia.org/wiki/new_york_knicks
cluster-243	what are the contributions of marie and pierre curie?	https://en.wikipedia.org/wiki/radioactive_decay
	what are the contributions of marie curie and pierre curie?	https://en.wikipedia.org/wiki/polonium
cluster-1586	who are hathor's kids?	https://en.wikipedia.org/wiki/hapi_(son_of_horus)
	who were hathors kid?	https://en.wikipedia.org/wiki/qebehsenuef
		https://en.wikipedia.org/wiki/imset
		https://en.wikipedia.org/wiki/duamutef
cluster-723	who were the candidates in the american election of 1864?	https://en.wikipedia.org/wiki/george_b._mcclellan
cluster-170	what was eminems first album?	https://en.wikipedia.org/wiki/infinite_(eminem_album)
cluster-2242	who is mason musso's brother?	marc musso
	mason musso have a brother?	https://en.wikipedia.org/wiki/mitchel_musso
cluster-1792	what is the capital of the state that has a border with california nevada and a coast line on the pacific?	https://en.wikipedia.org/wiki/salem,_oregon
cluster-129	what was michael jacksons second album?	https://en.wikipedia.org/wiki/ben_(album)
cluster-561	when did thomas edison's second wife mina miller die?	1947
cluster-38	what places in africa do people speak french?	https://en.wikipedia.org/wiki/benin
	where in africa do people speak french?	https://en.wikipedia.org/wiki/comoros
	what countries in africa speak french?	https://en.wikipedia.org/wiki/cameroon
cluster-765	when did joe travis die?	2002-11-23
cluster-338	kenya borders the ocean?	https://en.wikipedia.org/wiki/indian_ocean
cluster-1286	who plays marty on life with derek?	https://en.wikipedia.org/wiki/ariel_waller
cluster-1418	who was thomas jefferson vice president?	https://en.wikipedia.org/wiki/aaron_burr
	who acted as marty from life with derek?	https://en.wikipedia.org/wiki/george_clinton_(vice_president)
cluster-490	what is the highest mountain in the alps?	https://en.wikipedia.org/wiki/mont_blanc
cluster-1714	what age was rihanna when she went to sing?	15 years
cluster-992	who is the actor that plays albus dumbledore in harry potter?	https://en.wikipedia.org/wiki/michael_gambon
cluster-171	what was the psychological warfare australia faced in the korea war?	
cluster-2604	what is the first song that mozart wrote?	https://en.wikipedia.org/wiki/symphony_no._1_(mozart)
cluster-3551	when was abraham lincoln voted for president?	https://en.wikipedia.org/wiki/united_states_presidential_election,_1860
cluster-429	what three countries in south america are found in both the northern and southern hemispheres?	https://en.wikipedia.org/wiki/colombia
	what three countries in the south america are in both the northern and southern hemisphere?	https://en.wikipedia.org/wiki/ecuador
	what three countries in south america are both in northern and southern hemispheres?	https://en.wikipedia.org/wiki/brazil
cluster-1495	when did china become as an independent country?	1949-10-01
cluster-1247	what plants did lewis discover?	https://en.wikipedia.org/wiki/blue_flax
		https://en.wikipedia.org/wiki/buffaloberry
		https://en.wikipedia.org/wiki/black_greasewood
		https://en.wikipedia.org/wiki/shadscale
		https://en.wikipedia.org/wiki/broom_snakeweed
		https://en.wikipedia.org/wiki/curly-top_gumweed
cluster-1392	what first disney pixar film ever released?	https://en.wikipedia.org/wiki/toy_story
cluster-3674	when did the first and second world war started and end?	1918-11-11
		1914-07-28
		1939-09-01
		1945-09-02
cluster-1214	what was the highest point in australia's mainland?	https://en.wikipedia.org/wiki/mount_kosciuszko
cluster-3778	a canadian city hosted the winter olympics in 1998 which city was it?	
cluster-3464	who played dorothy gale in the first film?	https://en.wikipedia.org/wiki/judy_garland
cluster-1290	what age did howard carter die?	64 years
cluster-3562	whats marria carey birthday?	1969-03-27
cluster-752	who were dr martin luther king's father and mother?	https://en.wikipedia.org/wiki/alberta_williams_king
		https://en.wikipedia.org/wiki/martin_luther_king_sr.
cluster-2512	what was the capital city of britain before london?	https://en.wikipedia.org/wiki/winchester
cluster-2318	who was the first civilization to have irrigation systems?	https://en.wikipedia.org/wiki/irrigation
cluster-106	what are the three biggest cities in tennessee?	https://en.wikipedia.org/wiki/nashville,_tennessee
	what are the 3 biggest cities in tennessee?	https://en.wikipedia.org/wiki/knoxville,_tennessee
cluster-176	what was martin luther king jr father's occupation?	https://en.wikipedia.org/wiki/pastor
	what was martin luther king jr fathers' job?	https://en.wikipedia.org/wiki/minister_(christianity)
cluster-658	what is the name of hawaii's time zone?	https://en.wikipedia.org/wiki/hawaii%e2%80%93aleutian_time_zone
cluster-2858	what is the five largest city in new zealand?	https://en.wikipedia.org/wiki/christchurch
		https://en.wikipedia.org/wiki/tauranga
		https://en.wikipedia.org/wiki/wellington
		https://en.wikipedia.org/wiki/hamilton_urban_area
		https://en.wikipedia.org/wiki/auckland
cluster-32	where in germany was the composer ludwig van beethoven born?	https://en.wikipedia.org/wiki/bonn
cluster-1399	when did cyndi lauper get married?	1991-11-24
cluster-3101	what is paul revere's wifes home?	https://en.wikipedia.org/wiki/paul_revere_house
cluster-1570	when did honolulu become hawaii's state capitol?	1850
cluster-1716	what school does justin bieber at?	https://en.wikipedia.org/wiki/st._michael_catholic_secondary_school
	which high school did justin bieber go to?	https://en.wikipedia.org/wiki/jeanne_sauv%c3%a9_catholic_school
cluster-670	where did and when did jefferson davis die?	1889-12-06
cluster-2575	when does the suite life movie come out?	2011-03-25
cluster-1346	what did emily jane bronte die of?	https://en.wikipedia.org/wiki/tuberculosis
cluster-2486	top 3 largest cities in georgia?	https://en.wikipedia.org/wiki/atlanta
		https://en.wikipedia.org/wiki/columbus,_georgia
		https://en.wikipedia.org/wiki/augusta,_georgia
cluster-1720	what actress won the oscar in 1986?	https://en.wikipedia.org/wiki/geraldine_page
cluster-3004	what did andrew jacksons father die from?	logging accident
cluster-496	who was the first women to run for presidency in the us?	https://en.wikipedia.org/wiki/victoria_woodhull
cluster-444	what river flows through portugal?	https://en.wikipedia.org/wiki/tagus
cluster-849	what city did abraham lincoln got assassinated?	https://en.wikipedia.org/wiki/washington,_d.c.
cluster-1421	who was in charge of britain during the battle of britain?	https://en.wikipedia.org/wiki/winston_churchill
cluster-3052	where did marcus ware attend college?	https://en.wikipedia.org/wiki/troy_university
cluster-700	what is the zip code of trinidad and tobago?	120110
cluster-925	who is kesha's song stephen about?	https://en.wikipedia.org/wiki/stephen_(song)
cluster-3614	what does frank lero play for mcr?	https://en.wikipedia.org/wiki/bass_guitar
		https://en.wikipedia.org/wiki/rhythm_guitar
cluster-1131	where is jesse jackson from?	https://en.wikipedia.org/wiki/greenville,_south_carolina
cluster-1894	name all british players who played for barcelona?	https://en.wikipedia.org/wiki/gary_lineker
cluster-0	what is the highest and lowest elevation in arizona?	https://en.wikipedia.org/wiki/humphreys_peak
	what is the highest and lowest point in arizona?	https://en.wikipedia.org/wiki/colorado_river
cluster-2321	what is the largest mountain range in africa?	https://en.wikipedia.org/wiki/atlas_mountains
cluster-1109	what president died in the dominican republic?	https://en.wikipedia.org/wiki/rafael_trujillo
cluster-1925	what album was the best jackson 5?	https://en.wikipedia.org/wiki/abc_(the_jackson_5_album)
cluster-110	which team in the afl won the 2004 premiership?	https://en.wikipedia.org/wiki/port_adelaide_football_club
cluster-350	who is bruce jenners first wife?	chrystie crownover
cluster-920	what college did dale earnhardt go to?	https://en.wikipedia.org/wiki/mitchell_community_college
cluster-2911	what is a dork?	https://en.wikipedia.org/wiki/dork
cluster-568	what age is cheryl coles sister?	
cluster-3567	which kind of vegetarian is kristen stewart?	https://en.wikipedia.org/wiki/vegetarianism
cluster-779	what are the book titles written by jane austen?	https://en.wikipedia.org/wiki/sense_and_sensibility
	what are all of jane autens books?	https://en.wikipedia.org/wiki/emma_(novel)
		https://en.wikipedia.org/wiki/northanger_abbey
		https://en.wikipedia.org/wiki/mansfield_park
		https://en.wikipedia.org/wiki/persuasion_(novel)
		https://en.wikipedia.org/wiki/lady_susan
		https://en.wikipedia.org/wiki/pride_and_prejudice
cluster-3926	who is nicole ann-marie anderson of jamaica of the queens school?	
cluster-3126	who is the actor bruce wayne?	https://en.wikipedia.org/wiki/ben_affleck
cluster-965	what state does west virginia's border?	https://en.wikipedia.org/wiki/virginia
	what borders west virginia?	https://en.wikipedia.org/wiki/kentucky
	what states does west virginia border?	https://en.wikipedia.org/wiki/ohio
	what states borders west virginia?	https://en.wikipedia.org/wiki/pennsylvania
	what state does west virginia border?	https://en.wikipedia.org/wiki/maryland
cluster-2057	what was john f kennedy's vice presidents name?	https://en.wikipedia.org/wiki/lyndon_b._johnson
cluster-310	who is lil wayn's wife?	https://en.wikipedia.org/wiki/antonia_wright
cluster-875	what is the second largest country of europe?	https://en.wikipedia.org/wiki/ukraine
cluster-774	who was on the moon second?	https://en.wikipedia.org/wiki/buzz_aldrin
cluster-2087	where does thomas sean connery live?	https://en.wikipedia.org/wiki/the_bahamas
cluster-3882	when did henry 7th oldest son die?	1502-04-02
cluster-1845	where did champ boss bailey go to high school?	https://en.wikipedia.org/wiki/charlton_county_high_school
cluster-2828	what state was it when abraham lincoln died?	https://en.wikipedia.org/wiki/washington,_d.c.
cluster-2420	when did fiji achieve independence?	1970-10-10
cluster-1893	what company has the most employees in india?	https://en.wikipedia.org/wiki/indian_railways
cluster-3047	who did luke write about in his gospel?	https://en.wikipedia.org/wiki/jesus
cluster-909	when did lebron james join the miami heat?	2010-07-10
cluster-3766	which state is west of new hampshire and new york?	https://en.wikipedia.org/wiki/vermont
cluster-3922	what is the most famous and longest river in ireland?	https://en.wikipedia.org/wiki/river_shannon
cluster-3772	who were george w bushs jr children?	https://en.wikipedia.org/wiki/jenna_bush_hager
	when did lebron trade to the miami heat?	https://en.wikipedia.org/wiki/barbara_bush_(born_1981)
cluster-3962	what some lakes and rivers in maine?	https://en.wikipedia.org/wiki/pennamaquan_river
	what year did lebron james join the heat?	https://en.wikipedia.org/wiki/lake_auburn
		https://en.wikipedia.org/wiki/penobscot_river
		https://en.wikipedia.org/wiki/sebago_lake
		https://en.wikipedia.org/wiki/east_grand_lake
cluster-1823	when did japan last win the world cup?	
cluster-3401	what was beethoven brothers name?	franz georg van beethoven
		https://en.wikipedia.org/wiki/kaspar_anton_karl_van_beethoven
		johann peter anton leym
cluster-684	what year did anne frank die?	1945
cluster-2974	where are the next winter olympics being hosted in 2014?	https://en.wikipedia.org/wiki/sochi
cluster-3317	who was cs lewis's wife and adult family?	https://en.wikipedia.org/wiki/joy_davidman
cluster-1229	where was drew seeley born?	https://en.wikipedia.org/wiki/ottawa
cluster-4	what team win the nba finals 2003?	https://en.wikipedia.org/wiki/san_antonio_spurs
cluster-1450	what was the first satellite launched into space and who owned it?	https://en.wikipedia.org/wiki/sputnik_1
		https://en.wikipedia.org/wiki/soviet_union
cluster-2399	first prime minister of republic of india?	https://en.wikipedia.org/wiki/jawaharlal_nehru
cluster-809	what year was janet jackson born?	1966
